dataset,station,sim,template,peak_date,peak_time,peak_corr,snr_linear,snr_db,threshold_used,duration_s,event_dt,matched_arrival_dt,match_delta_s
ingv,ECPN,sim4,template3,2023-01-12,08:10:55,0.5426545695472371,1.3670825791289705,2.715894981580756,0.5,,2023-01-12 08:10:55,2023-01-12 08:00:58.383634,596.616366
ingv,ECPN,sim4,template1,2023-01-14,05:50:43,0.5457174241069186,1.025923971750313,0.2223035532793849,0.5,,2023-01-14 05:50:43,2023-01-14 05:42:42.889901,480.110099
ingv,ECPN,sim4,template3,2023-01-15,17:30:17,0.5593836215344632,1.1152613513473189,0.9475330453999946,0.5,,2023-01-15 17:30:17,2023-01-15 17:23:03.278649,433.721351
ingv,EC1,sim4,template1,2023-01-21,09:34:55,0.5083878618262585,0.7535750309831749,-2.4574699985147044,0.5,,2023-01-21 09:34:55,2023-01-21 09:43:44.196207,-529.196207
ingv,ECPN,sim4,template1,2023-01-22,00:30:00,0.5058282964959542,1.1076762099917958,0.8882565658891572,0.5,,2023-01-22 00:30:00,2023-01-22 00:39:53.508786,-593.508786
ingv,EC1,sim4,template1,2023-01-22,14:31:26,0.6508222811841,2.0864706154445467,6.388245455144355,0.5,,2023-01-22 14:31:26,2023-01-22 14:22:07.899161,558.100839
ingv,EC1,sim4,template3,2023-01-22,15:22:27,0.5321807912475166,1.964672030644772,5.865801250268103,0.5,,2023-01-22 15:22:27,2023-01-22 15:29:47.427736,-440.427736
ingv,ECPN,sim2,template1,2023-01-24,21:12:59,0.5059441692125879,1.2048103996766328,1.618374152276636,0.5,,2023-01-24 21:12:59,2023-01-24 21:21:50.714427,-531.714427
ingv,ECPN,sim3,template3,2023-01-25,04:50:04,0.536475191271904,0.8938147026891748,-0.9750501149215528,0.5,,2023-01-25 04:50:04,2023-01-25 04:58:42.999146,-518.999146
ingv,ECPN,sim3,template2,2023-01-25,06:59:25,0.5010289640716865,1.123694491254276,1.0129650360958624,0.5,,2023-01-25 06:59:25,2023-01-25 07:09:14.742574,-589.742574
ingv,ECPN,sim4,template3,2023-01-26,06:17:20,0.5405696537102789,0.972044610476463,-0.246276066923389,0.5,,2023-01-26 06:17:20,2023-01-26 06:10:15.430294,424.569706
ingv,ECPN,sim4,template2,2023-01-26,13:28:45,0.5939192334849349,1.0850908948764146,0.7093223856237884,0.5,,2023-01-26 13:28:45,2023-01-26 13:37:20.412820,-515.41282
ingv,ECPN,sim3,template2,2023-01-26,13:29:49,0.5485529858196634,1.0834845303100769,0.6964542992924276,0.5,,2023-01-26 13:29:49,2023-01-26 13:37:20.412820,-451.41282
ingv,EC1,sim2,template3,2023-01-28,10:07:19,0.5740615770932058,0.9389790464517044,-0.5468819802780971,0.5,,2023-01-28 10:07:19,2023-01-28 09:57:58.816453,560.183547
ingv,ECPN,sim2,template1,2023-01-30,23:56:38,0.6389075846498129,0.489788911464486,-6.199821025479581,0.5,,2023-01-30 23:56:38,2023-01-31 00:04:25.370060,-467.37006
ingv,EC1,sim2,template1,2023-01-30,23:57:21,0.5585097685905006,0.0824924846684283,-21.671712305535102,0.5,,2023-01-30 23:57:21,2023-01-31 00:04:25.370060,-424.37006
ingv,EC1,sim1,template3,2023-01-31,01:43:12,0.5262462397438579,0.0784995458338917,-22.10265711793705,0.5,,2023-01-31 01:43:12,2023-01-31 01:35:08.801295,483.198705
ingv,ECPN,sim2,template2,2023-01-31,01:44:15,0.6422277110371278,0.9952567204992732,-0.0412976229627803,0.5,,2023-01-31 01:44:15,2023-01-31 01:35:08.801295,546.198705
ingv,ECPN,sim4,template2,2023-01-31,13:24:52,0.5554966726115478,1.0837348230354868,0.6984605705971124,0.5,,2023-01-31 13:24:52,2023-01-31 13:32:30.928382,-458.928382
ingv,ECPN,sim3,template2,2023-01-31,13:39:59,0.567371867322993,1.0798974034358528,0.6676499386612571,0.5,,2023-01-31 13:39:59,2023-01-31 13:32:30.928382,448.071618
ingv,EC1,sim3,template2,2023-02-01,00:03:25,0.5198887588202731,1.2809375602329935,2.150559208364897,0.5,,2023-02-01 00:03:25,2023-02-01 00:12:14.712669,-529.712669
ingv,ECPN,sim4,template1,2023-02-03,13:20:56,0.5260207969949764,0.9057583006961508,-0.8597535448745142,0.5,,2023-02-03 13:20:56,2023-02-03 13:13:16.274988,459.725012
ingv,ECPN,sim4,template3,2023-02-03,14:16:02,0.6097129141238866,1.1166650480755826,0.9584584562716734,0.5,,2023-02-03 14:16:02,2023-02-03 14:08:31.796613,450.203387
