dataset,station,sim,template,n_peaks,avg_corr,avg_snr_linear,sst_label
experiment,EC1,sim2,template4,49,0.2341323448493412,1.0241044867377551,EC1-sim2-template4
experiment,EC10,sim1,template4,48,0.23446338811744127,1.0111274331176106,EC10-sim1-template4
experiment,EMAS,sim3,template4,46,0.2379759619210042,0.9650693771024655,EMAS-sim3-template4
experiment,ECIT,sim3,template4,45,0.228865500131433,0.9990487999290988,ECIT-sim3-template4
experiment,EC1,sim4,template4,43,0.24807391145569238,1.110381251710949,EC1-sim4-template4
experiment,EC10,sim2,template4,40,0.23270756513384408,1.0296564717261787,EC10-sim2-template4
experiment,EMAS,sim4,template4,40,0.2367583995380656,1.0203064259474608,EMAS-sim4-template4
experiment,ECIT,sim4,template4,34,0.24786367064425285,0.9930108916832462,ECIT-sim4-template4
experiment,ECOR,sim4,template4,33,0.23636394009211292,0.9727518678747303,ECOR-sim4-template4
experiment,EC10,sim3,template4,33,0.22670942128241192,1.0160046816116681,EC10-sim3-template4
experiment,ECOR,sim3,template4,30,0.23085345561452647,1.0198912012502508,ECOR-sim3-template4
experiment,EC10,sim4,template4,22,0.2325784805635845,1.1163271754073998,EC10-sim4-template4
experiment,ECOR,sim2,template4,21,0.22562767646089296,0.8688659202095846,ECOR-sim2-template4
